Y18H1A.13	CBG05125	1:1	273681
Y18H1A.9	CBG05158	1:1	539192
T06A4.3a	CBG05160	1:1	
ZC123.1	CBG18553	1:1	267288
ZC123.4c	CBG18552	1:1	556410
Y95B8A.8	CBG18550	1:1	
Y95B8A.10a	CBG18544	1:1	792117
Y95B8A.6c	CBG18546	1:1	319648
Y95B8A.11a	CBG18547	1:1	312037
Y95B8A.5a	CBG18548	1:m	498842
Y95B8A.5a	CBG18556	1:m	
Y95B8A.4	CBG18549	1:1	313664
Y95B8A.12c	CBG05122	1:1	712416
Y95B8A.1	CBG05121	1:1	
Y34D9B.1b	CBG05130	1:1	641191
F54A5.2a	CBG05129	1:1	660190
F54A5.3a	CBG05128	1:1	660199
F54A5.1	CBG22107	1:1	794700
C54G6.2	CBG22109	1:1	319107
C54G6.1a	CBG22104	1:1	320087
C54G6.5	CBG22028	1:1	320992
Y34D9A.11	CBG22030	1:1	
Y34D9A.1.1	CBG22031	1:1	703342
Y34D9A.4	CBG22032	1:1	734932
Y34D9A.3a	CBG22034	1:1	312114
Y34D9A.7a	CBG22035	1:1	810032
Y34D9A.6	CBG22036	1:1	736123
Y34D9A.10	CBG22083	1:1	
Y34D9A.2	CBG22082	1:1	272299
R06A10.2a.1	CBG22078	1:1	498848
R06A10.1	CBG22086	1:1	320429
R06A10.4	CBG22088	1:1	
ZK993.1a	CBG08515	1:1	533211
Y48G8AL.10a	CBG08513	1:1	569894
Y48G8AL.14	CBG08511	1:1	839325
Y48G8AL.8a	CBG08510	1:1	835216
Y48G8AL.7	CBG08509	1:1	320031
Y48G8AL.11a	CBG08495	1:1	546916
Y48G8AL.6	CBG08494	1:1	784422
Y48G8AL.1a	CBG08488	1:1	
Y48G8AL.12	CBG08490	n:m	285449
Y48G8AL.12	CBG08865	n:m	
Y48G8AL.12	CBG08866	n:m	
Y48G8AL.13a.1	CBG08489	1:1	693015
Y48G8AR.1a	CBG08484	1:1	753173
Y48G8AR.2	CBG08497	1:1	271414
Y48G8AR.3	CBG25406	1:1	320652
K12C11.4a	CBG08506	1:1	549463
K12C11.5	CBG24697	1:1	321043
K12C11.3c	CBG25193	1:1	307348
K12C11.2	CBG15104	1:1	
K12C11.1a	CBG15103	1:1	719974
Y92H12BL.1a	CBG15101	1:1	
Y92H12BR.7	CBG15098	1:1	319098
Y92H12BR.6	CBG15097	1:1	495910
Y92H12BR.2	CBG15096	1:1	317105
Y92H12BR.3a	CBG22286	1:m	
Y92H12BR.3a	CBG15095	1:m	251028
Y92H12BR.8	CBG22298	1:m	
Y92H12BR.8	CBG15094	1:m	
F37F2.2.2	CBG22282	1:1	681497
F47G6.4a	CBG22283	1:1	549805
F47G6.3	CBG18287	1:1	320019
F47G6.2	CBG22284	1:1	334415
F47G6.1a	CBG22285	1:1	766735
Y92H12A.5b	CBG22281	1:1	660380
Y92H12A.4a	CBG22280	1:1	671910
Y92H12A.2a	CBG22256	1:1	739652
Y92H12A.1b	CBG22259	1:1	549877
Y73E7A.3a	CBG22265	1:1	
Y73E7A.4	CBG22157	1:1	790933
Y73E7A.2	CBG22158	1:1	855840
Y73E7A.6.2	CBG22159	1:1	764248
Y73E7A.9a	CBG22162	1:1	720797
Y73E7A.7a	CBG22165	1:1	847315
Y73E7A.1a	CBG22164	1:1	816730
Y73E7A.8	CBG22163	1:1	316808
Y71G12B.20a	CBG22137	1:1	837144
Y71G12B.18a	CBG22229	1:1	311968
Y71G12B.21	CBG22155	1:1	284655
Y71G12B.33b	CBG22223	1:1	
Y71G12B.22	CBG22144	n:1	
Y71G12B.17	CBG22145	1:1	807170
Y71G12B.16	CBG22147	1:1	762645
Y71G12B.31a	CBG22148	1:1	529812
Y71G12B.15a.2	CBG22149	1:1	548207
Y71G12B.14	CBG22150	1:1	
Y71G12B.13	CBG22151	1:1	319597
Y71G12B.12a.2	CBG22152	1:1	703497
Y71G12B.24a	CBG22171	1:1	761732
Y71G12B.10	CBG22170	1:1	771295
Y71G12B.9a	CBG22169	1:1	282320
Y71G12B.8	CBG22166	1:1	569874
Y71G12B.25a	CBG22168	1:1	610275
Y71G12B.26a	CBG22167	1:1	316824
Y71G12B.6a	CBG22228	1:1	652419
Y71G12B.27	CBG12081	1:1	
Y71G12B.5a	CBG22177	1:1	320836
Y71G12B.4	CBG22199	1:1	269265
Y71G12B.3	CBG22203	n:1	313576
Y71G12B.32	CBG22139	1:1	320661
Y71G12B.1a	CBG22204	1:1	547504
C53H9.3	CBG25187	1:1	320977
C53H9.2a	CBG22213	1:1	841933
C53H9.1	CBG22212	1:1	865038
M01D7.7a	CBG22211	1:1	
