"","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"28",10,9.99999822,9.9999999999645,9.748,10,0,10,9.99999889,4.14,8.87,0,10,10,9.999822
"29",9.99999794,9.9865,10,0,9.99981,0,9.9999921,9.99535,9.9484,9.99999367,0,9.99999999752,9.99999999109,9.99999999999868
"30",9.99779,9.832,9.99999999999999,0,9.9616,8.87,9.983,8.11,9.862,9.99999701,0,9.999999999688,9.99999999999999,9.999731
"31",0,0,9.9046,0,0,0,0,0,0,0,0,9.9179,0,0
"32",9.99516,9.57,9.9999999999997,9.9122,9.9999798,9.99999899,9.9331,9.609,0,9.39,0,10,9.99689,9.9789
"33",9.9602,9.824,9.999664,9.99999784,9.99999999798,9.99765,9.999999217,9.251,0,5.14,0,10,9.999411,9.99394
"34",9.99715,0,0,9.99999999762,7.02,0,9.9638,9.734,8.01,0,0,0,9.9999725,9.9205
"35",9.999999822,9.843,0,9.99861,9.9999999441,0,9.99999927,9.9999859,9.297,9.846,0,0,9.9999938,9.9999835
"36",9.896,0,0,10,9.9999999817,0,9.9783,9.9738,9.549,9.778,0,0,0,9.881
"37",0,2.98,0,9.9999999827,0,0,0,2.44,0,0,0,0,0,4.63
"38",9.9729,0,9.99999999999674,0,0,0,0,0,0,9.9127,0,10,9.9015,2.89
"39",9.9999147,9.9999315,9.99603,9.999999999697,9.9999996,9.749,9.99999988,10,8.32,9.9999999999493,0,9.99139,9.9999999999509,10
"40",9.999999811,9.999086,9.99287,9.999897,9.99999999816,9.99747,9.99999999019,9.99843,0,9.9999999999996,9.801,9.9797,9.999999999621,9.99999999981
"41",9.9999562,0,4.9,9.011,9.999698,0,9.9999398,9.999693,0,9.405,0,0,9.9845,9.9999999105
"42",0,0,9.9572,0,9.999078,0,0,7.13,9.9439,9.9979,0,9.999229,9.99868,9.9868
"43",0,0,7.22,0,0,0,0,0,0,0,0,0,0,0
"44",0,0,9.81,0,8.53,0,9.999693,8.36,0,0,0,5.76,6.36,0
"45",0,0,0,0,0,0,0,0,0,0,0,0,9.99038,3.72
"46",9.299,3.18,0,0,9.99999253,0,9.999608,9.99799,0,0,0,9.98,9.999438,0
"47",0,0,9.999882,8.76,9.9724,0,0,0,0,0,0,9.338,0,0
"48",0,0,9.99372,9.9962,0.0299999999999994,0,0,0,0,0,0,9.814,0,0
"49",9.99999914,9.999053,5.31,7.87,9.999999999483,0,9.99999652,9.99985,0,9.999055,0,9.496,9.999951,9.9999999999686
"50",0,0,0,0,9.999999637,0,7.78,9.9999959,9.9108,9.99888,0,9.99751,9.99999999879,9.9999106
"51",9.9976,0,0,0,0,0,9.999073,5.18,9.9603,8.76,0,7.94,9.974,9.9693
"52",4.83,0,10,9.787,2.34,9.9074,0,0,0,0,0,10,9.9481,9.27
"53",0,2.31,0,0,9.99999999999371,0.960000000000001,9.99461,9.409,0,9.999442,0,9.377,9.999854,0.23
"54",0,0,9.9999999858,0,9.9593,0,0,9.76,0,0,0,9.9999999762,9.039,0
"55",0,0,10,0,0.35,0,0,0,0,0,0,10,9.886,0
"56",0,0,9.9999999999472,0,0,0,0,0,0,0,0,9.9999999999761,9.99823,0
"57",0,0,10,0,0,0,0,0,0,0,0,10,9.99761,0
"58",0,0,9.99999999796,0,0,0,0,0,0,0,0,9.999239,9.9999884,0
"59",0,0,10,0,0,7.93,0,0,0,0,0,9.9999973,9.99882,0
"60",0,9.99999897,9.404,6.22,9.9999817,0,9.999999832,9.99711,4.86,0,0,9.999982,9.9835,8.3
"61",0,0.77,9.9413,0,9.35,0,5.44,3.63,0,0,0,9.9999234,0,0
"62",9.9999999999243,9.9999771,10,5.86,9.9999999999575,9.884,9.999999999416,9.999999105,9.9999999905,9.999999841,9.717,9.999999999343,10,9.9999999411
"63",9.9999999658,9.999837,10,0,9.99999999999885,4.59,9.9999821,9.99999999999397,9.9999617,9.99999999953,0,9.99999999999993,10,9.99999999173
"64",6.22,0,9.9857,0,9.999999862,0,0,9.9524,9.9999792,9.865,0,7.22,6.49,9.9536
"65",0,0,9.615,0,0,0,0,9.9928,0,0,0,0,0,0
"66",9.9426,0,9.99245,0,9.99999626,0,0,0,0,0,0,0,0.380000000000001,0
"67",9.9999561,9.99404,9.99999999774,0,9.999614,0,9.9999896,9.999999216,9.99191,9.99999593,0,10,9.99999999629,9.99999999932
"68",0,0,9.9999791,0,0,0,0,0,0,0,0,10,0,0
"69",9.9999399,6.21,9.725,9.99476,9.9999999999867,5.99,9.787,9.99066,0,10,0,0,9.9999461,9.99999999777
"70",9.999982,9.9863,0,9.99999805,10,0,9.99111,9.9999224,0,9.9999999999875,0,0,9.99999999668,9.9999999471
"71",9.9826,0,9.99999999999944,0,0,0,0,6.41,0,0,0,9.99999794,1.74,0
"72",0,0,10,0,9.9469,0,0,1.43,0,0,0,9.9999988,7.61,0
"73",0,0,10,6.58,9.876,0,0,7.86,0,0,0,9.999999831,0.199999999999999,0
"74",0,0,9.999999999496,0,0,0,0,0,0,0,0,10,0,0
"75",0,0,9.99999999999976,0,0,9.9756,0,0,0,0,0,9.99999999999999,0,0
"76",0,7.44,0,0,9.999835,0,9.999583,0,0,9.9766,0,9.958,9.999999999655,0
"77",6.88,9.999558,0,0,9.99999468,0,9.839,0,9.854,1.54,0,4.95,9.999899,0
"78",0,9.99776,9.9737,0,9.9999505,0,9.9443,0,0,6.55,0,9.748,9.99589,0
"79",3.92,9.999867,0,0,9.9999883,0,9.9999612,0,0,0,0,0,9.99289,9.72
"80",9.9999822,9.999816,9.99203,10,9.999999999614,0,9.771,9.99814,0,9.999999999129,0,9.99999312,9.9999999064,9.9999999714
"81",9.99999498,9.99963,9.634,9.9024,9.9999883,0,9.99999501,9.9046,5.33,9.9999029,0,0,9.9999999531,9.941
"82",0,0,1.65,0.470000000000001,9.9632,8.78,9.999135,0,0,9.99999064,0,0,9.9574,9.999379
"83",9.99999726,0,0,9.828,9.99773,0,9.078,6.33,9.999465,9.898,0,8.88,9.999755,9.9848
"84",0,0,0,0,9.999638,0,8.44,7.63,0,0,0,0,9.9772,0
"85",0,0,0,0,0,0,4.34,0,9.029,0,0,0,9.937,0
"86",0,0,9.893,0,9.9908,0,0,7.81,0,0.279999999999999,0,3.24,9.9999999428,0
"87",0,0,0,6.87,5.52,0,9.99841,9.519,0,0,0,0,9.9872,0
"88",0,0,0,0,9.99999376,0,7.51,1.72,0,0,0,9.999654,9.9999999789,7.67
"89",9.817,9.492,6.73,9.99999332,9.9999999887,9.69,9.964,0,9.9588,8.1,0,9.03,9.9999999822,9.898
"90",0.43,9.753,9.99999999945,0,9.9999619,0,0,9.99378,0,9.076,0,9.99999999678,9.999999999871,9.99959
"91",4.3,0,8.33,0,9.9634,0,0,0,5.46,0,0,0,9.619,8.05
"92",9.999058,0,0,0,9.999999024,7.56,9.99999999873,7.41,0,0,0,0,9.99999666,9.99958
"93",0,0,0,0,9.999999999538,0,9.9838,0,0,0,0,0,0,0
"94",9.999999999717,9.9848,9.9984,9.99999999999839,9.9999504,9.999999716,9.999999999884,9.99999225,9.99773,9.999806,0,9.9999799,9.99999999999758,9.99999999999963
"95",9.9999999659,0,8.1,9.99999999999999,9.99999999999449,0,9.99999736,9.9999999473,9.99876,9.937,0,9.9116,10,9.999999999253
"96",9.99999999897,0,10,9.99999999695,10,9.99999999564,9.99999999999916,10,0,8.88,0,10,10,9.999999562
"97",10,8.29,10,9.99999999999998,10,9.99999999999122,10,10,9.99362,9.99999219,0,10,10,10
"98",10,9.9999999751,9.999999796,10,10,9.9155,10,10,9.9999999005,9.99999999555,7.47,10,10,10
"99",10,10,9.99999999996,10,10,9.9258,10,9.99999999999998,9.99999999999993,9.99999999999384,0,9.99999999999999,9.9999999999741,10
"100",10,9.9999999999929,10,10,10,7.26,10,9.99999999999943,9.99999999999986,9.9999556,0,10,9.99999999999998,9.9999999621
